127.0.0.1 - - [28/Sep/2023:10:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:40 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 200 199176
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:40 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:40 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 108055
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/calendar/calendar.css.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 4992
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89756
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 146589
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/core.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 89155
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/components.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 492154
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:41 -0300] "GET /Cadastro/javax.faces.resource/touch/touchswipe.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=primefaces&v=12.0.0 HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [28/Sep/2023:10:02:42 -0300] "GET /Cadastro/javax.faces.resource/jsf.js.xhtml;jsessionid=656D162F6C98E8B8521B0A0D32985EFA?ln=javax.faces HTTP/1.1" 200 44385
